device_code,Auto filled link for health check ,timezone,MP type
300480-108,"""https://us.dunkindonuts.switchboardcms.com/device/300480-108/screenshot/"",",America/New_York,ODMB
300481-31,"""https://us.dunkindonuts.switchboardcms.com/device/300481-31/screenshot/"",",America/New_York,DD FC
300481-32,"""https://us.dunkindonuts.switchboardcms.com/device/300481-32/screenshot/"",",America/New_York,DD FC
300481-33,"""https://us.dunkindonuts.switchboardcms.com/device/300481-33/screenshot/"",",America/New_York,DD FC
300481-34,"""https://us.dunkindonuts.switchboardcms.com/device/300481-34/screenshot/"",",America/New_York,DD FC
300485-31,"""https://us.dunkindonuts.switchboardcms.com/device/300485-31/screenshot/"",",America/New_York,DD FC
300485-32,"""https://us.dunkindonuts.switchboardcms.com/device/300485-32/screenshot/"",",America/New_York,DD FC
300485-33,"""https://us.dunkindonuts.switchboardcms.com/device/300485-33/screenshot/"",",America/New_York,DD FC
300485-34,"""https://us.dunkindonuts.switchboardcms.com/device/300485-34/screenshot/"",",America/New_York,DD FC
300493-31,"""https://us.dunkindonuts.switchboardcms.com/device/300493-31/screenshot/"",",America/New_York,DD FC
300493-32,"""https://us.dunkindonuts.switchboardcms.com/device/300493-32/screenshot/"",",America/New_York,DD FC
300493-33,"""https://us.dunkindonuts.switchboardcms.com/device/300493-33/screenshot/"",",America/New_York,DD FC
300493-34,"""https://us.dunkindonuts.switchboardcms.com/device/300493-34/screenshot/"",",America/New_York,DD FC
300495-107,"""https://us.dunkindonuts.switchboardcms.com/device/300495-107/screenshot/"",",America/New_York,ODMB
300495-108,"""https://us.dunkindonuts.switchboardcms.com/device/300495-108/screenshot/"",",America/New_York,ODMB
300495-31,"""https://us.dunkindonuts.switchboardcms.com/device/300495-31/screenshot/"",",America/New_York,DD FC
300495-32,"""https://us.dunkindonuts.switchboardcms.com/device/300495-32/screenshot/"",",America/New_York,DD FC
300495-33,"""https://us.dunkindonuts.switchboardcms.com/device/300495-33/screenshot/"",",America/New_York,DD FC
300495-34,"""https://us.dunkindonuts.switchboardcms.com/device/300495-34/screenshot/"",",America/New_York,DD FC
300496-107,"""https://us.dunkindonuts.switchboardcms.com/device/300496-107/screenshot/"",",America/New_York,ODMB
300496-108,"""https://us.dunkindonuts.switchboardcms.com/device/300496-108/screenshot/"",",America/New_York,ODMB
300501-31,"""https://us.dunkindonuts.switchboardcms.com/device/300501-31/screenshot/"",",America/New_York,DD FC
300501-32,"""https://us.dunkindonuts.switchboardcms.com/device/300501-32/screenshot/"",",America/New_York,DD FC
300501-33,"""https://us.dunkindonuts.switchboardcms.com/device/300501-33/screenshot/"",",America/New_York,DD FC
300501-34,"""https://us.dunkindonuts.switchboardcms.com/device/300501-34/screenshot/"",",America/New_York,DD FC
300503-107,"""https://us.dunkindonuts.switchboardcms.com/device/300503-107/screenshot/"",",America/Chicago,ODMB
300503-108,"""https://us.dunkindonuts.switchboardcms.com/device/300503-108/screenshot/"",",America/Chicago,ODMB
300506-31,"""https://us.dunkindonuts.switchboardcms.com/device/300506-31/screenshot/"",",America/New_York,DD FC
300506-32,"""https://us.dunkindonuts.switchboardcms.com/device/300506-32/screenshot/"",",America/New_York,DD FC
300506-33,"""https://us.dunkindonuts.switchboardcms.com/device/300506-33/screenshot/"",",America/New_York,DD FC
300506-34,"""https://us.dunkindonuts.switchboardcms.com/device/300506-34/screenshot/"",",America/New_York,DD FC
300512-107,"""https://us.dunkindonuts.switchboardcms.com/device/300512-107/screenshot/"",",America/New_York,ODMB
300512-108,"""https://us.dunkindonuts.switchboardcms.com/device/300512-108/screenshot/"",",America/New_York,ODMB
300518-107,"""https://us.dunkindonuts.switchboardcms.com/device/300518-107/screenshot/"",",America/New_York,ODMB
300518-108,"""https://us.dunkindonuts.switchboardcms.com/device/300518-108/screenshot/"",",America/New_York,ODMB
300518-30,"""https://us.dunkindonuts.switchboardcms.com/device/300518-30/screenshot/"",",America/New_York,OSB
300518-31,"""https://us.dunkindonuts.switchboardcms.com/device/300518-31/screenshot/"",",America/New_York,DD FC
300518-32,"""https://us.dunkindonuts.switchboardcms.com/device/300518-32/screenshot/"",",America/New_York,DD FC
300518-33,"""https://us.dunkindonuts.switchboardcms.com/device/300518-33/screenshot/"",",America/New_York,DD FC
300518-34,"""https://us.dunkindonuts.switchboardcms.com/device/300518-34/screenshot/"",",America/New_York,DD FC
300521-107,"""https://us.dunkindonuts.switchboardcms.com/device/300521-107/screenshot/"",",America/New_York,ODMB
300521-108,"""https://us.dunkindonuts.switchboardcms.com/device/300521-108/screenshot/"",",America/New_York,ODMB
300521-31,"""https://us.dunkindonuts.switchboardcms.com/device/300521-31/screenshot/"",",America/New_York,DD FC
300521-32,"""https://us.dunkindonuts.switchboardcms.com/device/300521-32/screenshot/"",",America/New_York,DD FC
300521-33,"""https://us.dunkindonuts.switchboardcms.com/device/300521-33/screenshot/"",",America/New_York,DD FC
300521-34,"""https://us.dunkindonuts.switchboardcms.com/device/300521-34/screenshot/"",",America/New_York,DD FC
300533-107,"""https://us.dunkindonuts.switchboardcms.com/device/300533-107/screenshot/"",",America/New_York,ODMB
300533-108,"""https://us.dunkindonuts.switchboardcms.com/device/300533-108/screenshot/"",",America/New_York,ODMB
